"id","age","strain","region","sample","Fe","Cu","Zn"
"226","5","NFL-KO","Cortex","01A",60.98,16.655,70.73
"227","5","NFL-KO","Cortex","02A",64.51,19.805,80.96
"228","5","NFL-KO","Cortex","03A",60.28,17.052,69.85
"229","5","NFL-KO","Cortex","04A",62.67,16.936,71.35
"230","5","NFL-KO","Cortex","05A",70.89,18.135,76.7
"232","5","NFL-KO","Cortex","06A",65.47,18.652,73.7
"233","5","NFL-KO","Cortex","07A",76.84,19.425,84.65
"234","5","NFL-KO","Cortex","08A",62.92,17.865,68.08
"238","5","NFL-KO","Cortex","09A",66.11,17.938,72.25
"237","5","NFL-KO","Cortex","10A",128.48,17.415,73.75
"236","5","NFL-KO","Cortex","11A",58.93,16.6,75.01
"235","5","NFL-KO","Cortex","12A",66.24,18.366,75.5
"162379","22","NFL-KO","Cortex","13A",79.2,14.788,69.01
"162380","22","NFL-KO","Cortex","14A",73.71,15.496,82.31
"162381","22","NFL-KO","Cortex","15A",75.48,15.059,66.02
"162382","22","NFL-KO","Cortex","16A",79.18,18.04,68.69
"13","22","NFL-KO","Cortex","17A",82.05,14.248,68.64
"14","22","NFL-KO","Cortex","18A",77.23,17.453,68.79
"161464","22","WT","Cortex","20A",58.76,17.516,63.52
"161466","22","WT","Cortex","21A",61.99,14.628,60.58
"161468","22","WT","Cortex","22A",65.91,14.92,66.49
"161469","22","WT","Cortex","23A",70.34,13.068,62.24
"161470","22","WT","Cortex","24A",81.49,13.67,77.67
"170","22","WT","Cortex","26A",75.1,19.589,68.17
"171","22","WT","Cortex","27A",69.64,14.578,59.28
"172","22","WT","Cortex","28A",74.03,12.63,63.32
"3119","5","WT","Cortex","29A",77.34,21.798,79.21
"3120","5","WT","Cortex","30A",61.61,17.082,62.09
"3121","5","WT","Cortex","31A",73.69,18.594,77.75
"3139","5","WT","Cortex","32A",59.08,17.631,85.26
"3181","5","WT","Cortex","33A",65.9,18.411,71.6
"3183","5","WT","Cortex","34A",67.59,24.288,67.09
"3184","5","WT","Cortex","35A",60.52,15.778,73.15
"3185","5","WT","Cortex","36A",68.52,18.651,72.38
"226","5","NFL-KO","Hippocampus","01B",67.63,20.462,94.42
